listing_id,title,monthly_rent_eur,deposit_eur,district,room_type,size_sqm,furnished_raw,is_furnished,distance_to_vilnius_tech_km,source_name,listing_url,collected_at,updated_at,notes
vr_0001,"1 room flat for rent - Vilnius, Antakalnis, Antakalnio g.",570,,Antakalnis,1_room,30,"newly furnished",True,3.7,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-antakalnio-g-naujai-irengtas-dar-negyventas-kambario-4-1464905/?search_pos=1,2026-03-29,2026-03-27,"The apartment is bright, cozy, and has never been lived in"
vr_0002,"1 room flat for rent - Vilnius, Antakalnis, Žolyno g.",400,,Antakalnis,1_room,18,"furnished",True,3.5,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-zolyno-g-nuomojamas-moderniai-bei-funkcionaliai-4-1464903/?search_pos=32,2026-03-29,2026-03-22,
vr_0003,"1 room flat for rent - Vilnius, Antakalnis, V. Grybo g.",300,,Antakalnis,1_room,17,"furnished",True,3.5,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-v-grybo-g-nuomojamas-kambario-butas-v-grybo-gatveje-4-1460661/?search_pos=57,2026-03-29,2026-03-19,
vr_0004,"1 room flat for rent - Vilnius, Žirmūnai, Žirmūnų g.",420,,Žirmūnai,1_room,21.5,"furnished",True,4.2,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-nuomojamas-jaukus-vieno-kambario-butas-4-1460577/?search_pos=60,2026-03-29,2026-03-21,
vr_0005,"1 room flat for rent - Vilnius, Antakalnis, V. Grybo g.",450,,Antakalnis,1_room,25.01,"furnished",True,3.7,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-v-grybo-g-sis-kv-m-siuolaikiskai-renovuotas-butas-4-1458095/?search_pos=68,2026-03-29,2026-02-18,
vr_0006,"1 room flat for rent - Vilnius, Žirmūnai, Žygio g.",350,,Žirmūnai,1_room,27.3,"furnished",True,5.3,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zygio-g-be-gyvunu-4-1464769/?search_pos=94,2026-03-29,2026-03-26,
vr_0007,"2 rooms flat for rent - Vilnius, Antakalnis, P. Vileišio g.",670,,Antakalnis,2_rooms,33.29,"furnished",True,3.0,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-p-vileisio-g-isnuomojamas-moderniai-irengtas-kambariu-4-1370521/?search_pos=96,2026-04-04,2026-04-02,
vr_0008,"2 rooms flat for rent - Vilnius, Žirmūnai, Verkių g.",570,,Žirmūnai,2_rooms,44.47,"furnished",True,5.3,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-verkiu-g-nuomojamas-jaukus-ir-siltas-kambariu-butas-4-1360391/?search_pos=97,2026-03-29,2026-03-19,
vr_0009,"1 room flat for rent - Vilnius, Žirmūnai, Žirmūnų g.",420,,Žirmūnai,1_room,22,"furnished",True,3.7,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-be-tarpininkavimo-mokescio-kalbu-lt-ir-ru-4-1198870/?search_pos=101,2026-03-29,2026-03-28,
vr_0010,"1 room flat for rent - Vilnius, Žirmūnai, Kalvarijų g.",320,,Žirmūnai,1_room,22,"furnished",True,4.7,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-kalvariju-g-nuomojamas-tvarkingas-vieno-kambario-butas-4-1463363/?search_pos=6,2026-03-29,2026-03-29,
